id,homotypic_name_id,scientific_name,authorship,rank,uninomial,genus,infrageneric_epithet,specific_epithet,infraspecific_epithet,cultivar_epithet,strain,candidatus,notho,basionym_authors,basionym_ex_authors,basionym_year,combination_authors,combination_ex_authors,combination_year,sanctioning_author,code,nom_status,type
41652637,41652637,Opisthoteuthidae,,family,Opisthoteuthidae,,,,,,,f,,{},{},,{},{},,,,,0
41648387,41648387,Centropomidae,,family,Centropomidae,,,,,,,f,,{},{},,{},{},,,,,0
41644295,41644295,Megalodontida,,order,Megalodontida,,,,,,,f,,{},{},,{},{},,,,,0
41650608,41650608,Elphidiidae,,family,Elphidiidae,,,,,,,f,,{},{},,{},{},,,,,0
41647675,41647675,Pterolichidae,,family,Pterolichidae,,,,,,,f,,{},{},,{},{},,,,,0
41644899,41644899,Prostomidae,,family,Prostomidae,,,,,,,f,,{},{},,{},{},,,,,0
41652196,41652196,Discamminidae,,family,Discamminidae,,,,,,,f,,{},{},,{},{},,,,,0
41651963,41651963,Entorrhizales,,order,Entorrhizales,,,,,,,f,,{},{},,{},{},,,,,0
41655555,41655555,Chordeumiidae,,family,Chordeumiidae,,,,,,,f,,{},{},,{},{},,,,,0
41654251,41654251,Parabrontopodidae,,family,Parabrontopodidae,,,,,,,f,,{},{},,{},{},,,,,0
41652907,41652907,Spongopalliidae,,family,Spongopalliidae,,,,,,,f,,{},{},,{},{},,,,,0
41645316,41645316,Heliconiaceae,,family,Heliconiaceae,,,,,,,f,,{},{},,{},{},,,,,0
